,positive,pos_count,negative,neg_count,stock
0,출시,2967,급감,1218.0,삼성전자
1,역대,2945,하락,56.0,삼성전자
2,협력,100,의혹,19.0,삼성전자
3,돌파,39,약세,13.0,삼성전자
4,상승,35,문제,12.0,삼성전자
5,최고,30,횡령,10.0,삼성전자
6,전망,29,리스크,8.0,삼성전자
7,증가,26,혐의,8.0,삼성전자
8,신기록,23,눈물,8.0,삼성전자
9,주목,22,논란,7.0,삼성전자
10,수상,21,우려,6.0,삼성전자
11,신제품,12,산재,5.0,삼성전자
12,인기,8,매각,3.0,삼성전자
13,체결,6,여파,2.0,삼성전자
14,팝업,6,위반,2.0,삼성전자
15,유치,5,불만,2.0,삼성전자
16,대박,4,게이트,1.0,삼성전자
17,진출,3,항의,1.0,삼성전자
18,제휴,3,급락,1.0,삼성전자
19,부상,3,피해,1.0,삼성전자
20,진화,2,구형,1.0,삼성전자
21,이목,2,불똥,1.0,삼성전자
22,승인,2,,,삼성전자
23,순항,2,,,삼성전자
24,트렌드,1,,,삼성전자
25,열풍,1,,,삼성전자
26,호응,1,,,삼성전자
