time,totalCnt,diff
20200101,0,0
20200202,2,2
20200203,15,13
20200204,0,0
20200205,19,4
20200206,23,4
20200207,24,1
20200208,24,0
20200209,27,3
20200210,27,0
20200211,28,1
20200212,28,0
20200213,28,0
20200214,28,0
20200215,28,0
20200216,29,1
20200217,30,1
20200218,31,1
20200219,51,20
20200220,104,53
20200221,204,100
20200222,433,229
20200223,602,169
20200224,833,231
20200225,977,144
20200226,1261,284
20200227,1766,505
20200228,2337,571
20200229,3150,813
20200301,3736,586
20200302,4212,476
20200303,4812,600
20200304,5328,516
20200305,5766,438
20200306,6284,518
20200307,6767,483
20200308,7134,367
20200309,7382,248
20200310,7513,131
20200311,7755,242
20200312,7869,114
20200313,7979,110
20200314,8086,107
20200315,8162,76
20200316,8236,74
20200317,8320,84
20200318,8413,93
20200319,8565,152
20200320,8652,87
20200321,8799,147
20200322,8897,98
20200323,8961,64
20200324,9037,76
20200325,9137,100
20200326,9241,104
20200327,9332,91
20200328,9478,146
20200329,9583,105
20200330,9661,78
20200331,9786,125
20200401,9887,101
20200402,9976,89
20200403,10062,86
20200404,10156,94
20200405,10237,81
20200406,10284,47
20200407,10331,47
20200408,10384,53
20200409,10423,39
20200410,10450,27
20200411,10480,30
20200412,10512,32
20200413,10537,25
20200414,10564,27
20200415,10591,27
20200416,10613,22
20200417,10635,22
20200418,10653,18
20200419,10661,8
20200420,10674,13
20200421,10683,9
20200422,10694,11
20200423,10702,8
20200424,10708,6
20200425,10718,10
20200426,10728,10
20200427,10738,10
20200428,10752,14
20200429,10761,9
20200430,10765,4
20200501,10774,9
20200502,10780,6
20200503,10793,13
20200504,10801,8
20200505,10804,3
20200506,10806,2
20200507,10810,4
20200508,10822,12
20200509,10840,18
20200510,10874,34
20200511,10909,35
20200512,10936,27
20200513,10962,26
20200514,10991,29
20200515,11018,27
20200516,11037,19
20200517,11050,13
20200518,11065,15
20200519,11078,13
20200520,11110,32
20200521,11122,12
20200522,11142,20
20200523,11165,23
20200524,11190,25
20200525,11206,16
20200526,11225,19
20200527,11265,40
20200528,11344,79
20200529,11402,58
20200530,11441,39
20200531,11468,27
20200601,11503,35
20200602,11541,38
20200603,11590,49
20200604,11629,39
20200605,11668,39
20200606,11719,51
20200607,11776,57
20200608,11814,38
20200609,11852,38
20200610,11902,50
20200611,11947,45
20200612,12003,56
20200613,12051,48
20200614,12085,34
20200615,12121,36
20200616,12155,34
20200617,12198,43
20200618,12257,59
20200619,12306,49
20200620,12373,67
20200621,12421,48
20200622,12438,17
20200623,12484,46
20200624,12535,51
20200625,12563,28
20200626,12602,39
20200627,12653,51
20200628,12715,62
20200629,12757,42
20200630,12800,43
20200701,12850,50
20200702,12904,54
20200703,12967,63
20200704,13030,63
20200705,13091,61
20200706,13137,46
20200707,13181,44
20200708,13244,63
20200709,13293,49
20200710,13338,45
20200711,13373,35
20200712,13417,44
20200713,13479,62
20200714,13512,33
20200715,13551,39
20200716,13612,61
20200717,13672,60
20200718,13711,39
20200719,13745,34
20200720,13771,26
20200721,13816,45
20200722,13879,63
20200723,13938,59
20200724,13979,41
20200725,14092,113
20200726,14150,58
20200727,14175,25
20200728,14203,28
20200729,14251,48
20200730,14269,18
20200731,14305,36
20200801,14336,31
20200802,14366,30
20200803,14389,23
20200804,14423,34
20200805,14456,33
20200806,14499,43
20200807,14519,20
20200808,14562,43
20200809,14598,36
20200810,14626,28
20200811,14660,34
20200812,14714,54
20200813,14770,56
20200814,14873,103
20200815,15039,166
20200816,15318,279
20200817,15515,197
20200818,15761,246
20200819,16058,297
20200820,16346,288
20200821,16670,324
20200822,17002,332
20200823,17399,397
20200824,17665,266
20200825,17945,280
20200826,18265,320
20200827,18706,441
20200828,19077,371
20200829,19400,323
20200830,19699,299
20200831,19947,248
20200901,20182,235
20200902,20449,267
20200903,20644,195
20200904,20842,198
20200905,21010,168
20200906,21177,167
20200907,21296,119
20200908,21432,136
20200909,21588,156
20200910,21743,155
20200911,21919,176
20200912,22055,136
20200913,22176,121
20200914,22285,109
20200915,22391,106
20200916,22504,113
20200917,22657,153
20200918,22783,126
20200919,22893,110
20200920,22975,82
20200921,23045,70
20200922,23106,61
20200923,23216,110
20200924,23341,125
20200925,23455,114
20200926,23516,61
20200927,23611,95
20200928,23661,50
20200929,23699,38
20200930,23812,113
20201001,23889,77
20201002,23952,63
20201003,24027,75
20201004,24091,64
20201005,24164,73
20201006,24239,75
20201007,24353,114
20201008,24422,69
20201009,24476,54
20201010,24548,72
20201011,24606,58
20201012,24703,97
20201013,24805,102
20201014,24889,84
20201015,24988,99
20201016,25035,47
20201017,25108,73
20201018,25199,91
20201019,25275,76
20201020,25333,58
20201021,25424,91
20201022,25543,119
20201023,25698,155
20201024,25775,77
20201025,25836,61
20201026,25955,119
20201027,26043,88
20201028,26146,103
20201029,26271,125
20201030,26385,114
20201031,26511,126
20201101,26635,124
20201102,26732,97
20201103,26807,75
20201104,26925,118
20201105,27050,125
20201106,27195,145
20201107,27284,89
20201108,27427,143
20201109,27553,126
20201110,27653,100
20201111,27799,146
20201112,27942,143
